region,rajon,title,amount,period,month
Витебская,Оршанский,Оршанский район,5784.1,2,Март
Витебская,Полоцкий,Полоцкий район,6106.7,2,Март
Витебская,Поставский,Поставский район,4885.7,2,Март
Витебская,Россонский,Россонский район,5007.9,2,Март
Витебская,Сенненский,Сенненский район,4631.9,2,Март
Витебская,Толочинский,Толочинский район,5058.4,2,Март
Витебская,Ушачский,Ушачский район,4368.2,2,Март
Витебская,Чашникский,Чашникский район,5748.1,2,Март
Витебская,Шарковщинский,Шарковщинский район,4187.6,2,Март
Витебская,Шумилинский,Шумилинский район,4549.4,2,Март
Гомельская,Всего,Гомельская область,6206.4,2,Март
Гомельская,Гомель,Гомель,6745.4,2,Март
Гомельская,Брагинский,Брагинский район,4650.4,2,Март
Гомельская,Буда-Кошелевский,Буда-Кошелевский район,5238.7,2,Март
Гомельская,Ветковский,Ветковский район,4914.3,2,Март
Гомельская,Гомельский,Гомельский район,5847.3,2,Март
Гомельская,Добрушский,Добрушский район,4942,2,Март
Гомельская,Ельский,Ельский район,4893.7,2,Март
Гомельская,Житковичский,Житковичский район,5144.3,2,Март
Гомельская,Жлобинский,Жлобинский район,6128.8,2,Март
Гомельская,Калинковичский,Калинковичский район,5718.7,2,Март
Гомельская,Кормянский,Кормянский район,4478.3,2,Март
Гомельская,Лельчицкий,Лельчицкий район,4638.6,2,Март
Гомельская,Лоевский,Лоевский район,4479.8,2,Март
Гомельская,Мозырский,Мозырский район,6780.3,2,Март
Гомельская,Наровлянский,Наровлянский район,5087.7,2,Март
Гомельская,Октябрьский,Октябрьский район,4801.8,2,Март
Гомельская,Петриковский,Петриковский район,4742.2,2,Март
Гомельская,Речицкий,Речицкий район,7056.9,2,Март
Гомельская,Рогачевский,Рогачевский район,5179.8,2,Март
Гомельская,Светлогорский,Светлогорский район,6466.9,2,Март
Гомельская,Хойникский,Хойникский район,4773.3,2,Март
Гомельская,Чечерский,Чечерский район,5061.7,2,Март
Гродненская,Всего,Гродненская область,6003,2,Март
Гродненская,Гродно,Гродно,7074.8,2,Март
Гродненская,Берестовицкий,Берестовицкий район,5360.8,2,Март
Гродненская,Волковысский,Волковысский район,5712.7,2,Март
Гродненская,Вороновский,Вороновский район,4697.2,2,Март
Гродненская,Гродненский,Гродненский район,6271.1,2,Март
Гродненская,Дятловский,Дятловский район,4819.2,2,Март
Гродненская,Зельвенский,Зельвенский район,4730.1,2,Март
Гродненская,Ивьевский,Ивьевский район,4742,2,Март
Гродненская,Кореличский,Кореличский район,4705.9,2,Март
Гродненская,Лидский,Лидский район,5746.3,2,Март
Гродненская,Мостовский,Мостовский район,4600.8,2,Март
Гродненская,Новогрудский,Новогрудский район,5243,2,Март
Гродненская,Островецкий,Островецкий район,6412.8,2,Март
Гродненская,Ошмянский,Ошмянский район,5400.8,2,Март
Гродненская,Свислочский,Свислочский район,4616.8,2,Март
Гродненская,Слонимский,Слонимский район,5196.6,2,Март
Гродненская,Сморгонский,Сморгонский район,5672.4,2,Март
Гродненская,Щучинский,Щучинский район,5224.8,2,Март
Могилевская,Всего,Могилевская область,5879.4,2,Март
Могилевская,Могилев,Могилев,6574.1,2,Март
Могилевская,Бобруйск,Бобруйск,6030.8,2,Март
Могилевская,Белыничский,Белыничский район,5676.1,2,Март
Могилевская,Бобруйский,Бобруйский район,4468.7,2,Март
Могилевская,Быховский,Быховский район,4915.9,2,Март
Могилевская,Глусский,Глусский район,4750.8,2,Март
Могилевская,Горецкий,Горецкий район,4927.1,2,Март
Могилевская,Дрибинский,Дрибинский район,5114.4,2,Март
Могилевская,Кировский,Кировский район,4824.2,2,Март
Могилевская,Климовичский,Климовичский район,5086.5,2,Март
Могилевская,Кличевский,Кличевский район,5079.8,2,Март
Могилевская,Костюковичский,Костюковичский район,5875.7,2,Март
Могилевская,Краснопольский,Краснопольский район,4935.5,2,Март
Могилевская,Кричевский,Кричевский район,5520.3,2,Март
Могилевская,Круглянский,Круглянский район,5304.2,2,Март
Могилевская,Могилевский,Могилевский район,5887,2,Март
Могилевская,Мстиславский,Мстиславский район,4562.7,2,Март
Могилевская,Осиповичский,Осиповичский район,5844.4,2,Март
Могилевская,Славгородский,Славгородский район,4733.6,2,Март
Могилевская,Хотимский,Хотимский район,4614.3,2,Март
Могилевская,Чаусский,Чаусский район,4776.7,2,Март
Могилевская,Чериковский,Чериковский район,4865.9,2,Март
Могилевская,Шкловский,Шкловский район,5671.3,2,Март
